"Region Name","Year","Death Rate"
"Africa",1961,7.1
"Africa",1962,4.95
"Africa",1963,9.15
"Africa",1964,7.23
"Africa",1965,11.39
"Africa",1966,10.57
"Africa",1967,8.24
"Africa",1968,4.99
"Africa",1969,3.39
"Africa",1970,7.45
"Africa",1971,9.82
"Africa",1972,6.01
"Africa",1973,24.96
"Africa",1974,10.93
"Africa",1975,20.07
"Africa",1976,12.32
"Africa",1977,11.52
"Africa",1978,14.94
"Africa",1979,19.36
"Africa",1980,6.21
"Africa",1981,2.92
"Africa",1982,5.07
"Africa",1983,2.99
"Africa",1984,23.23
"Africa",1985,54.18
"Africa",1986,7.81
"Africa",1987,39.3
"Africa",1988,33.99
"Africa",1989,34.78
"Africa",1990,27.66
"Africa",1991,26.11
"Africa",1992,33.92
"Africa",1993,26.89
"Africa",1994,20.76
"Africa",1995,34.82
"Africa",1996,27.21
"Africa",1997,21.07
"Africa",1998,23.58
"Africa",1999,26.44
"Africa",2000,23
"Africa",2001,46.47
"Africa",2002,58.22
"Africa",2003,42.58
"Africa",2004,41.88
"Africa",2005,45.63
"Africa",2006,58.21
"Africa",2007,52.71
"Africa",2008,40.05
"Africa",2009,47.96
"Africa",2010,44.05
"Africa",2011,73.01
"Africa",2012,51.66
"Africa",2013,45.1
"Africa",2014,40.32
"Africa",2015,41.56
"Africa",2016,42.93
"Africa",2017,16.03
"Africa",2018,16.41
"Africa",2019,17.09
"Africa",2020,19.53
"Africa",2021,16.54
"Asia",1950,84.35
"Asia",1951,73.37
"Asia",1952,72.04
"Asia",1953,74.34
"Asia",1954,77.01
"Asia",1955,136.07
"Asia",1956,153.37
"Asia",1957,146.26
"Asia",1958,152.9
"Asia",1959,156.29
"Asia",1960,153.63
"Asia",1961,133.39
"Asia",1962,132.84
"Asia",1963,200.86
"Asia",1964,228.56
"Asia",1965,209.53
"Asia",1966,204.48
"Asia",1967,199.74
"Asia",1968,250.32
"Asia",1969,147.89
"Asia",1970,182.86
"Asia",1971,166.15
"Asia",1972,183.63
"Asia",1973,173.44
"Asia",1974,171.97
"Asia",1975,218.44
"Asia",1976,211.8
"Asia",1977,256.08
"Asia",1978,194.78
"Asia",1979,213.71
"Asia",1980,264.2
"Asia",1981,436.2
"Asia",1982,426.42
"Asia",1983,261.3
"Asia",1984,238.66
"Asia",1985,506.53
"Asia",1986,490.84
"Asia",1987,407.73
"Asia",1988,390.14
"Asia",1989,388.89
"Asia",1990,377.53
"Asia",1991,362.06
"Asia",1992,339.65
"Asia",1993,339.21
"Asia",1994,376.28
"Asia",1995,375.81
"Asia",1996,438.43
"Asia",1997,447.76
"Asia",1998,467.25
"Asia",1999,456.19
"Asia",2000,438.66
"Asia",2001,441.56
"Asia",2002,423.22
"Asia",2003,446.94
"Asia",2004,447.5
"Asia",2005,433.89
"Asia",2006,415.19
"Asia",2007,405.22
"Asia",2008,316.56
"Asia",2009,404.87
"Asia",2010,402.63
"Asia",2011,373.93
"Asia",2012,353.8
"Asia",2013,366.8
"Asia",2014,345.4
"Asia",2015,295.26
"Asia",2016,316.43
"Asia",2017,298.88
"Asia",2018,284.23
"Asia",2019,285.03
"Asia",2020,206.33
"Asia",2021,76.06
"Central and South America",1953,2.49
"Central and South America",1954,4.78
"Central and South America",1955,79.29
"Central and South America",1956,96.79
"Central and South America",1957,84.68
"Central and South America",1958,77.31
"Central and South America",1959,85.63
"Central and South America",1960,106.69
"Central and South America",1961,80.28
"Central and South America",1962,75.93
"Central and South America",1963,122.82
"Central and South America",1964,133.64
"Central and South America",1965,146.86
"Central and South America",1966,157.96
"Central and South America",1967,149.95
"Central and South America",1968,159.5
"Central and South America",1969,167.5
"Central and South America",1970,173.84
"Central and South America",1971,137.44
"Central and South America",1972,119.89
"Central and South America",1973,106.71
"Central and South America",1974,150.46
"Central and South America",1975,157.16
"Central and South America",1976,147.06
"Central and South America",1977,183.15
"Central and South America",1978,186.89
"Central and South America",1979,212.03
"Central and South America",1980,218.86
"Central and South America",1981,148.68
"Central and South America",1982,177.79
"Central and South America",1983,130.2
"Central and South America",1984,243.32
"Central and South America",1985,228.44
"Central and South America",1986,192.7
"Central and South America",1987,196.06
"Central and South America",1988,204.15
"Central and South America",1989,222.37
"Central and South America",1990,241.65
"Central and South America",1991,193.37
"Central and South America",1992,175.39
"Central and South America",1993,191.27
"Central and South America",1994,197.7
"Central and South America",1995,254.46
"Central and South America",1996,226.73
"Central and South America",1997,211.09
"Central and South America",1998,235.94
"Central and South America",1999,294.36
"Central and South America",2000,256.26
"Central and South America",2001,339.39
"Central and South America",2002,339.04
