"Region Name","Country Name","suicides","Sex","Year","AgeGroup"
"Central and South America","Guyana",0,"Female",1979,"0-9 years"
"Central and South America","Guyana",0,"Female",1979,"0-9 years"
"Central and South America","Guyana",0,"Female",1979,"0-9 years"
"Central and South America","Guyana",0,"Male",1979,"0-9 years"
"Central and South America","Guyana",0,"Male",1979,"0-9 years"
"Central and South America","Guyana",0,"Male",1979,"0-9 years"
"Central and South America","Guyana",0,"Female",1984,"0-9 years"
"Central and South America","Guyana",0,"Female",1984,"0-9 years"
"Central and South America","Guyana",0,"Female",1984,"0-9 years"
"Central and South America","Guyana",0,"Male",1984,"0-9 years"
"Central and South America","Guyana",0,"Male",1984,"0-9 years"
"Central and South America","Guyana",0,"Male",1984,"0-9 years"
"Central and South America","Guyana",0,"Female",1988,"0-9 years"
"Central and South America","Guyana",0,"Female",1988,"0-9 years"
"Central and South America","Guyana",0,"Female",1988,"0-9 years"
"Central and South America","Guyana",0,"Male",1988,"0-9 years"
"Central and South America","Guyana",0,"Male",1988,"0-9 years"
"Central and South America","Guyana",0,"Male",1988,"0-9 years"
"Central and South America","Guyana",0,"Female",1989,"0-9 years"
"Central and South America","Guyana",0,"Female",1989,"0-9 years"
"Central and South America","Guyana",0,"Female",1989,"0-9 years"
"Central and South America","Guyana",0,"Male",1989,"0-9 years"
"Central and South America","Guyana",0,"Male",1989,"0-9 years"
"Central and South America","Guyana",0,"Male",1989,"0-9 years"
"Central and South America","Guyana",0,"Female",1990,"0-9 years"
"Central and South America","Guyana",0,"Female",1990,"0-9 years"
"Central and South America","Guyana",0,"Female",1990,"0-9 years"
"Central and South America","Guyana",0,"Male",1990,"0-9 years"
"Central and South America","Guyana",0,"Male",1990,"0-9 years"
"Central and South America","Guyana",0,"Male",1990,"0-9 years"
"Central and South America","Guyana",0,"Female",1991,"0-9 years"
"Central and South America","Guyana",0,"Female",1991,"0-9 years"
"Central and South America","Guyana",0,"Female",1991,"0-9 years"
"Central and South America","Guyana",0,"Male",1991,"0-9 years"
"Central and South America","Guyana",0,"Male",1991,"0-9 years"
"Central and South America","Guyana",1,"Male",1991,"0-9 years"
"Central and South America","Guyana",0,"Female",1992,"0-9 years"
"Central and South America","Guyana",0,"Female",1992,"0-9 years"
"Central and South America","Guyana",0,"Female",1992,"0-9 years"
"Central and South America","Guyana",0,"Male",1992,"0-9 years"
"Central and South America","Guyana",0,"Male",1992,"0-9 years"
"Central and South America","Guyana",0,"Male",1992,"0-9 years"
"Central and South America","Guyana",0,"Female",1993,"0-9 years"
"Central and South America","Guyana",0,"Female",1993,"0-9 years"
"Central and South America","Guyana",0,"Female",1993,"0-9 years"
"Central and South America","Guyana",0,"Male",1993,"0-9 years"
"Central and South America","Guyana",0,"Male",1993,"0-9 years"
"Central and South America","Guyana",0,"Male",1993,"0-9 years"
"Central and South America","Guyana",0,"Female",1994,"0-9 years"
"Central and South America","Guyana",0,"Female",1994,"0-9 years"
"Central and South America","Guyana",0,"Female",1994,"0-9 years"
"Central and South America","Guyana",0,"Male",1994,"0-9 years"
"Central and South America","Guyana",0,"Male",1994,"0-9 years"
"Central and South America","Guyana",0,"Male",1994,"0-9 years"
"Central and South America","Guyana",0,"Female",1995,"0-9 years"
"Central and South America","Guyana",0,"Female",1995,"0-9 years"
"Central and South America","Guyana",0,"Female",1995,"0-9 years"
"Central and South America","Guyana",0,"Male",1995,"0-9 years"
"Central and South America","Guyana",0,"Male",1995,"0-9 years"
"Central and South America","Guyana",0,"Male",1995,"0-9 years"
"Central and South America","Guyana",0,"Female",1996,"0-9 years"
"Central and South America","Guyana",0,"Female",1996,"0-9 years"
"Central and South America","Guyana",0,"Female",1996,"0-9 years"
"Central and South America","Guyana",0,"Male",1996,"0-9 years"
"Central and South America","Guyana",0,"Male",1996,"0-9 years"
"Central and South America","Guyana",0,"Male",1996,"0-9 years"
"Central and South America","Guyana",0,"Female",1997,"0-9 years"
"Central and South America","Guyana",0,"Female",1997,"0-9 years"
"Central and South America","Guyana",0,"Female",1997,"0-9 years"
"Central and South America","Guyana",0,"Male",1997,"0-9 years"
"Central and South America","Guyana",0,"Male",1997,"0-9 years"
"Central and South America","Guyana",0,"Male",1997,"0-9 years"
"Central and South America","Guyana",0,"Female",1998,"0-9 years"
"Central and South America","Guyana",0,"Female",1998,"0-9 years"
"Central and South America","Guyana",0,"Female",1998,"0-9 years"
"Central and South America","Guyana",0,"Male",1998,"0-9 years"
"Central and South America","Guyana",0,"Male",1998,"0-9 years"
"Central and South America","Guyana",0,"Male",1998,"0-9 years"
"Central and South America","Guyana",0,"Female",1999,"0-9 years"
"Central and South America","Guyana",0,"Female",1999,"0-9 years"
"Central and South America","Guyana",0,"Female",1999,"0-9 years"
"Central and South America","Guyana",0,"Male",1999,"0-9 years"
"Central and South America","Guyana",0,"Male",1999,"0-9 years"
"Central and South America","Guyana",0,"Male",1999,"0-9 years"
"Central and South America","Guyana",0,"Female",2001,"0-9 years"
"Central and South America","Guyana",0,"Female",2001,"0-9 years"
"Central and South America","Guyana",0,"Female",2001,"0-9 years"
"Central and South America","Guyana",0,"Male",2001,"0-9 years"
"Central and South America","Guyana",0,"Male",2001,"0-9 years"
"Central and South America","Guyana",0,"Male",2001,"0-9 years"
"Central and South America","Guyana",0,"Female",2002,"0-9 years"
"Central and South America","Guyana",0,"Female",2002,"0-9 years"
"Central and South America","Guyana",1,"Female",2002,"0-9 years"
"Central and South America","Guyana",0,"Male",2002,"0-9 years"
"Central and South America","Guyana",0,"Male",2002,"0-9 years"
"Central and South America","Guyana",0,"Male",2002,"0-9 years"
"Central and South America","Guyana",0,"Female",2003,"0-9 years"
"Central and South America","Guyana",0,"Female",2003,"0-9 years"
"Central and South America","Guyana",0,"Female",2003,"0-9 years"
"Central and South America","Guyana",0,"Male",2003,"0-9 years"
"Central and South America","Guyana",0,"Male",2003,"0-9 years"
"Central and South America","Guyana",1,"Male",2003,"0-9 years"
"Central and South America","Guyana",0,"Female",2004,"0-9 years"
"Central and South America","Guyana",0,"Female",2004,"0-9 years"
"Central and South America","Guyana",0,"Female",2004,"0-9 years"
"Central and South America","Guyana",0,"Male",2004,"0-9 years"
"Central and South America","Guyana",0,"Male",2004,"0-9 years"
"Central and South America","Guyana",0,"Male",2004,"0-9 years"
"Central and South America","Guyana",0,"Female",2005,"0-9 years"
"Central and South America","Guyana",0,"Female",2005,"0-9 years"
"Central and South America","Guyana",0,"Female",2005,"0-9 years"
"Central and South America","Guyana",0,"Male",2005,"0-9 years"
"Central and South America","Guyana",0,"Male",2005,"0-9 years"
"Central and South America","Guyana",0,"Male",2005,"0-9 years"
