"Region Name","Country Name","suicides","Sex","Year","AgeGroup"
"Asia","South Korea",0,"Female",1985,"0-9 years"
"Asia","South Korea",0,"Female",1985,"0-9 years"
"Asia","South Korea",0,"Female",1985,"0-9 years"
"Asia","South Korea",0,"Male",1985,"0-9 years"
"Asia","South Korea",0,"Male",1985,"0-9 years"
"Asia","South Korea",0,"Male",1985,"0-9 years"
"Asia","South Korea",0,"Female",1986,"0-9 years"
"Asia","South Korea",0,"Female",1986,"0-9 years"
"Asia","South Korea",0,"Female",1986,"0-9 years"
"Asia","South Korea",0,"Male",1986,"0-9 years"
"Asia","South Korea",0,"Male",1986,"0-9 years"
"Asia","South Korea",0,"Male",1986,"0-9 years"
"Asia","South Korea",0,"Female",1987,"0-9 years"
"Asia","South Korea",0,"Female",1987,"0-9 years"
"Asia","South Korea",0,"Female",1987,"0-9 years"
"Asia","South Korea",0,"Male",1987,"0-9 years"
"Asia","South Korea",0,"Male",1987,"0-9 years"
"Asia","South Korea",0,"Male",1987,"0-9 years"
"Asia","South Korea",0,"Female",1988,"0-9 years"
"Asia","South Korea",0,"Female",1988,"0-9 years"
"Asia","South Korea",0,"Female",1988,"0-9 years"
"Asia","South Korea",0,"Male",1988,"0-9 years"
"Asia","South Korea",0,"Male",1988,"0-9 years"
"Asia","South Korea",0,"Male",1988,"0-9 years"
"Asia","South Korea",0,"Female",1989,"0-9 years"
"Asia","South Korea",0,"Female",1989,"0-9 years"
"Asia","South Korea",0,"Female",1989,"0-9 years"
"Asia","South Korea",0,"Male",1989,"0-9 years"
"Asia","South Korea",0,"Male",1989,"0-9 years"
"Asia","South Korea",0,"Male",1989,"0-9 years"
"Asia","South Korea",0,"Female",1990,"0-9 years"
"Asia","South Korea",0,"Female",1990,"0-9 years"
"Asia","South Korea",0,"Female",1990,"0-9 years"
"Asia","South Korea",0,"Male",1990,"0-9 years"
"Asia","South Korea",0,"Male",1990,"0-9 years"
"Asia","South Korea",0,"Male",1990,"0-9 years"
"Asia","South Korea",0,"Female",1991,"0-9 years"
"Asia","South Korea",0,"Female",1991,"0-9 years"
"Asia","South Korea",0,"Female",1991,"0-9 years"
"Asia","South Korea",0,"Male",1991,"0-9 years"
"Asia","South Korea",0,"Male",1991,"0-9 years"
"Asia","South Korea",0,"Male",1991,"0-9 years"
"Asia","South Korea",0,"Female",1992,"0-9 years"
"Asia","South Korea",0,"Female",1992,"0-9 years"
"Asia","South Korea",1,"Female",1992,"0-9 years"
"Asia","South Korea",0,"Male",1992,"0-9 years"
"Asia","South Korea",0,"Male",1992,"0-9 years"
"Asia","South Korea",1,"Male",1992,"0-9 years"
"Asia","South Korea",0,"Female",1993,"0-9 years"
"Asia","South Korea",0,"Female",1993,"0-9 years"
"Asia","South Korea",2,"Female",1993,"0-9 years"
"Asia","South Korea",0,"Male",1993,"0-9 years"
"Asia","South Korea",0,"Male",1993,"0-9 years"
"Asia","South Korea",4,"Male",1993,"0-9 years"
"Asia","South Korea",0,"Female",1994,"0-9 years"
"Asia","South Korea",0,"Female",1994,"0-9 years"
"Asia","South Korea",1,"Female",1994,"0-9 years"
"Asia","South Korea",0,"Male",1994,"0-9 years"
"Asia","South Korea",0,"Male",1994,"0-9 years"
"Asia","South Korea",2,"Male",1994,"0-9 years"
"Asia","South Korea",0,"Female",1995,"0-9 years"
"Asia","South Korea",0,"Female",1995,"0-9 years"
"Asia","South Korea",0,"Female",1995,"0-9 years"
"Asia","South Korea",0,"Male",1995,"0-9 years"
"Asia","South Korea",0,"Male",1995,"0-9 years"
"Asia","South Korea",1,"Male",1995,"0-9 years"
"Asia","South Korea",0,"Female",1996,"0-9 years"
"Asia","South Korea",0,"Female",1996,"0-9 years"
"Asia","South Korea",1,"Female",1996,"0-9 years"
"Asia","South Korea",0,"Male",1996,"0-9 years"
"Asia","South Korea",0,"Male",1996,"0-9 years"
"Asia","South Korea",0,"Male",1996,"0-9 years"
"Asia","South Korea",0,"Female",1997,"0-9 years"
"Asia","South Korea",0,"Female",1997,"0-9 years"
"Asia","South Korea",3,"Female",1997,"0-9 years"
"Asia","South Korea",0,"Male",1997,"0-9 years"
"Asia","South Korea",0,"Male",1997,"0-9 years"
"Asia","South Korea",3,"Male",1997,"0-9 years"
"Asia","South Korea",0,"Female",1998,"0-9 years"
"Asia","South Korea",0,"Female",1998,"0-9 years"
"Asia","South Korea",3,"Female",1998,"0-9 years"
"Asia","South Korea",0,"Male",1998,"0-9 years"
"Asia","South Korea",0,"Male",1998,"0-9 years"
"Asia","South Korea",4,"Male",1998,"0-9 years"
"Asia","South Korea",0,"Female",1999,"0-9 years"
"Asia","South Korea",0,"Female",1999,"0-9 years"
"Asia","South Korea",4,"Female",1999,"0-9 years"
"Asia","South Korea",0,"Male",1999,"0-9 years"
"Asia","South Korea",0,"Male",1999,"0-9 years"
"Asia","South Korea",3,"Male",1999,"0-9 years"
"Asia","South Korea",0,"Female",2000,"0-9 years"
"Asia","South Korea",0,"Female",2000,"0-9 years"
"Asia","South Korea",2,"Female",2000,"0-9 years"
"Asia","South Korea",0,"Male",2000,"0-9 years"
"Asia","South Korea",0,"Male",2000,"0-9 years"
"Asia","South Korea",5,"Male",2000,"0-9 years"
"Asia","South Korea",0,"Female",2001,"0-9 years"
"Asia","South Korea",0,"Female",2001,"0-9 years"
"Asia","South Korea",2,"Female",2001,"0-9 years"
"Asia","South Korea",0,"Male",2001,"0-9 years"
"Asia","South Korea",0,"Male",2001,"0-9 years"
"Asia","South Korea",2,"Male",2001,"0-9 years"
"Asia","South Korea",0,"Female",2002,"0-9 years"
"Asia","South Korea",0,"Female",2002,"0-9 years"
"Asia","South Korea",0,"Female",2002,"0-9 years"
"Asia","South Korea",0,"Male",2002,"0-9 years"
"Asia","South Korea",0,"Male",2002,"0-9 years"
"Asia","South Korea",0,"Male",2002,"0-9 years"
"Asia","South Korea",0,"Female",2003,"0-9 years"
"Asia","South Korea",0,"Female",2003,"0-9 years"
"Asia","South Korea",1,"Female",2003,"0-9 years"
"Asia","South Korea",0,"Male",2003,"0-9 years"
"Asia","South Korea",0,"Male",2003,"0-9 years"
"Asia","South Korea",0,"Male",2003,"0-9 years"
"Asia","South Korea",0,"Female",2004,"0-9 years"
"Asia","South Korea",0,"Female",2004,"0-9 years"
"Asia","South Korea",0,"Female",2004,"0-9 years"
"Asia","South Korea",0,"Male",2004,"0-9 years"
"Asia","South Korea",0,"Male",2004,"0-9 years"
"Asia","South Korea",1,"Male",2004,"0-9 years"
"Asia","South Korea",0,"Female",2005,"0-9 years"
"Asia","South Korea",0,"Female",2005,"0-9 years"
"Asia","South Korea",0,"Female",2005,"0-9 years"
"Asia","South Korea",0,"Male",2005,"0-9 years"
"Asia","South Korea",0,"Male",2005,"0-9 years"
"Asia","South Korea",1,"Male",2005,"0-9 years"
"Asia","South Korea",0,"Female",2006,"0-9 years"
"Asia","South Korea",0,"Female",2006,"0-9 years"
"Asia","South Korea",0,"Female",2006,"0-9 years"
"Asia","South Korea",0,"Male",2006,"0-9 years"
"Asia","South Korea",0,"Male",2006,"0-9 years"
"Asia","South Korea",1,"Male",2006,"0-9 years"
"Asia","South Korea",0,"Female",2007,"0-9 years"
"Asia","South Korea",0,"Female",2007,"0-9 years"
"Asia","South Korea",1,"Female",2007,"0-9 years"
"Asia","South Korea",0,"Male",2007,"0-9 years"
"Asia","South Korea",0,"Male",2007,"0-9 years"
"Asia","South Korea",0,"Male",2007,"0-9 years"
"Asia","South Korea",0,"Female",2008,"0-9 years"
"Asia","South Korea",0,"Female",2008,"0-9 years"
"Asia","South Korea",0,"Female",2008,"0-9 years"
"Asia","South Korea",0,"Male",2008,"0-9 years"
"Asia","South Korea",0,"Male",2008,"0-9 years"
"Asia","South Korea",1,"Male",2008,"0-9 years"
"Asia","South Korea",0,"Female",2009,"0-9 years"
"Asia","South Korea",0,"Female",2009,"0-9 years"
"Asia","South Korea",1,"Female",2009,"0-9 years"
"Asia","South Korea",0,"Male",2009,"0-9 years"
"Asia","South Korea",0,"Male",2009,"0-9 years"
"Asia","South Korea",3,"Male",2009,"0-9 years"
"Asia","South Korea",0,"Female",2010,"0-9 years"
"Asia","South Korea",0,"Female",2010,"0-9 years"
"Asia","South Korea",0,"Female",2010,"0-9 years"
"Asia","South Korea",0,"Male",2010,"0-9 years"
"Asia","South Korea",0,"Male",2010,"0-9 years"
"Asia","South Korea",0,"Male",2010,"0-9 years"
"Asia","South Korea",0,"Female",2011,"0-9 years"
"Asia","South Korea",0,"Female",2011,"0-9 years"
"Asia","South Korea",0,"Female",2011,"0-9 years"
"Asia","South Korea",0,"Male",2011,"0-9 years"
"Asia","South Korea",0,"Male",2011,"0-9 years"
"Asia","South Korea",0,"Male",2011,"0-9 years"
"Asia","South Korea",0,"Female",2012,"0-9 years"
"Asia","South Korea",0,"Female",2012,"0-9 years"
"Asia","South Korea",0,"Female",2012,"0-9 years"
"Asia","South Korea",0,"Male",2012,"0-9 years"
"Asia","South Korea",0,"Male",2012,"0-9 years"
"Asia","South Korea",1,"Male",2012,"0-9 years"
"Asia","South Korea",0,"Female",2013,"0-9 years"
"Asia","South Korea",0,"Female",2013,"0-9 years"
"Asia","South Korea",0,"Female",2013,"0-9 years"
"Asia","South Korea",0,"Male",2013,"0-9 years"
"Asia","South Korea",0,"Male",2013,"0-9 years"
"Asia","South Korea",0,"Male",2013,"0-9 years"
"Asia","South Korea",0,"Female",2014,"0-9 years"
"Asia","South Korea",0,"Female",2014,"0-9 years"
"Asia","South Korea",0,"Female",2014,"0-9 years"
"Asia","South Korea",0,"Male",2014,"0-9 years"
"Asia","South Korea",0,"Male",2014,"0-9 years"
"Asia","South Korea",2,"Male",2014,"0-9 years"
"Asia","South Korea",0,"Female",2015,"0-9 years"
"Asia","South Korea",0,"Female",2015,"0-9 years"
"Asia","South Korea",0,"Female",2015,"0-9 years"
"Asia","South Korea",0,"Male",2015,"0-9 years"
"Asia","South Korea",0,"Male",2015,"0-9 years"
"Asia","South Korea",0,"Male",2015,"0-9 years"
"Asia","South Korea",0,"Female",2016,"0-9 years"
"Asia","South Korea",0,"Female",2016,"0-9 years"
"Asia","South Korea",0,"Female",2016,"0-9 years"
"Asia","South Korea",0,"Male",2016,"0-9 years"
"Asia","South Korea",0,"Male",2016,"0-9 years"
"Asia","South Korea",0,"Male",2016,"0-9 years"
"Asia","South Korea",0,"Female",2017,"0-9 years"
"Asia","South Korea",0,"Female",2017,"0-9 years"
"Asia","South Korea",0,"Female",2017,"0-9 years"
"Asia","South Korea",0,"Male",2017,"0-9 years"
"Asia","South Korea",0,"Male",2017,"0-9 years"
"Asia","South Korea",1,"Male",2017,"0-9 years"
"Asia","South Korea",0,"Female",2018,"0-9 years"
"Asia","South Korea",0,"Female",2018,"0-9 years"
"Asia","South Korea",0,"Female",2018,"0-9 years"
"Asia","South Korea",0,"Male",2018,"0-9 years"
"Asia","South Korea",0,"Male",2018,"0-9 years"
"Asia","South Korea",1,"Male",2018,"0-9 years"
"Asia","South Korea",0,"Female",2019,"0-9 years"
"Asia","South Korea",0,"Female",2019,"0-9 years"
"Asia","South Korea",0,"Female",2019,"0-9 years"
"Asia","South Korea",0,"Male",2019,"0-9 years"
"Asia","South Korea",0,"Male",2019,"0-9 years"
"Asia","South Korea",2,"Male",2019,"0-9 years"
"Asia","South Korea",0,"Female",2020,"0-9 years"
"Asia","South Korea",0,"Female",2020,"0-9 years"
"Asia","South Korea",2,"Female",2020,"0-9 years"
"Asia","South Korea",0,"Male",2020,"0-9 years"
"Asia","South Korea",0,"Male",2020,"0-9 years"
"Asia","South Korea",0,"Male",2020,"0-9 years"
"Asia","South Korea",13,"Female",1985,"10-19 years"
"Asia","South Korea",104,"Female",1985,"10-19 years"
"Asia","South Korea",20,"Male",1985,"10-19 years"
"Asia","South Korea",230,"Male",1985,"10-19 years"
"Asia","South Korea",8,"Female",1986,"10-19 years"
"Asia","South Korea",96,"Female",1986,"10-19 years"
"Asia","South Korea",18,"Male",1986,"10-19 years"
"Asia","South Korea",217,"Male",1986,"10-19 years"
"Asia","South Korea",15,"Female",1987,"10-19 years"
"Asia","South Korea",75,"Female",1987,"10-19 years"
"Asia","South Korea",27,"Male",1987,"10-19 years"
"Asia","South Korea",169,"Male",1987,"10-19 years"
"Asia","South Korea",12,"Female",1988,"10-19 years"
"Asia","South Korea",101,"Female",1988,"10-19 years"
"Asia","South Korea",14,"Male",1988,"10-19 years"
"Asia","South Korea",192,"Male",1988,"10-19 years"
"Asia","South Korea",15,"Female",1989,"10-19 years"
"Asia","South Korea",88,"Female",1989,"10-19 years"
"Asia","South Korea",20,"Male",1989,"10-19 years"
"Asia","South Korea",173,"Male",1989,"10-19 years"
"Asia","South Korea",14,"Female",1990,"10-19 years"
"Asia","South Korea",83,"Female",1990,"10-19 years"
"Asia","South Korea",26,"Male",1990,"10-19 years"
"Asia","South Korea",190,"Male",1990,"10-19 years"
"Asia","South Korea",16,"Female",1991,"10-19 years"
"Asia","South Korea",70,"Female",1991,"10-19 years"
"Asia","South Korea",26,"Male",1991,"10-19 years"
"Asia","South Korea",164,"Male",1991,"10-19 years"
"Asia","South Korea",22,"Female",1992,"10-19 years"
"Asia","South Korea",87,"Female",1992,"10-19 years"
"Asia","South Korea",25,"Male",1992,"10-19 years"
"Asia","South Korea",198,"Male",1992,"10-19 years"
"Asia","South Korea",20,"Female",1993,"10-19 years"
"Asia","South Korea",97,"Female",1993,"10-19 years"
"Asia","South Korea",21,"Male",1993,"10-19 years"
"Asia","South Korea",198,"Male",1993,"10-19 years"
"Asia","South Korea",29,"Female",1994,"10-19 years"
"Asia","South Korea",88,"Female",1994,"10-19 years"
"Asia","South Korea",24,"Male",1994,"10-19 years"
"Asia","South Korea",170,"Male",1994,"10-19 years"
"Asia","South Korea",28,"Female",1995,"10-19 years"
"Asia","South Korea",112,"Female",1995,"10-19 years"
"Asia","South Korea",29,"Male",1995,"10-19 years"
"Asia","South Korea",186,"Male",1995,"10-19 years"
"Asia","South Korea",46,"Female",1996,"10-19 years"
"Asia","South Korea",167,"Female",1996,"10-19 years"
"Asia","South Korea",35,"Male",1996,"10-19 years"
"Asia","South Korea",248,"Male",1996,"10-19 years"
"Asia","South Korea",32,"Female",1997,"10-19 years"
"Asia","South Korea",135,"Female",1997,"10-19 years"
"Asia","South Korea",29,"Male",1997,"10-19 years"
"Asia","South Korea",177,"Male",1997,"10-19 years"
"Asia","South Korea",42,"Female",1998,"10-19 years"
"Asia","South Korea",173,"Female",1998,"10-19 years"
"Asia","South Korea",27,"Male",1998,"10-19 years"
"Asia","South Korea",227,"Male",1998,"10-19 years"
"Asia","South Korea",27,"Female",1999,"10-19 years"
"Asia","South Korea",133,"Female",1999,"10-19 years"
"Asia","South Korea",28,"Male",1999,"10-19 years"
"Asia","South Korea",185,"Male",1999,"10-19 years"
"Asia","South Korea",8,"Female",2000,"10-19 years"
"Asia","South Korea",105,"Female",2000,"10-19 years"
"Asia","South Korea",16,"Male",2000,"10-19 years"
"Asia","South Korea",138,"Male",2000,"10-19 years"
"Asia","South Korea",21,"Female",2001,"10-19 years"
"Asia","South Korea",87,"Female",2001,"10-19 years"
"Asia","South Korea",11,"Male",2001,"10-19 years"
"Asia","South Korea",110,"Male",2001,"10-19 years"
"Asia","South Korea",17,"Female",2002,"10-19 years"
"Asia","South Korea",86,"Female",2002,"10-19 years"
"Asia","South Korea",14,"Male",2002,"10-19 years"
"Asia","South Korea",117,"Male",2002,"10-19 years"
"Asia","South Korea",17,"Female",2003,"10-19 years"
"Asia","South Korea",99,"Female",2003,"10-19 years"
"Asia","South Korea",16,"Male",2003,"10-19 years"
"Asia","South Korea",168,"Male",2003,"10-19 years"
"Asia","South Korea",22,"Female",2004,"10-19 years"
"Asia","South Korea",81,"Female",2004,"10-19 years"
"Asia","South Korea",22,"Male",2004,"10-19 years"
"Asia","South Korea",128,"Male",2004,"10-19 years"
"Asia","South Korea",20,"Female",2005,"10-19 years"
"Asia","South Korea",113,"Female",2005,"10-19 years"
"Asia","South Korea",20,"Male",2005,"10-19 years"
"Asia","South Korea",134,"Male",2005,"10-19 years"
"Asia","South Korea",20,"Female",2006,"10-19 years"
"Asia","South Korea",89,"Female",2006,"10-19 years"
"Asia","South Korea",14,"Male",2006,"10-19 years"
"Asia","South Korea",112,"Male",2006,"10-19 years"
"Asia","South Korea",27,"Female",2007,"10-19 years"
"Asia","South Korea",117,"Female",2007,"10-19 years"
"Asia","South Korea",25,"Male",2007,"10-19 years"
"Asia","South Korea",143,"Male",2007,"10-19 years"
"Asia","South Korea",26,"Female",2008,"10-19 years"
"Asia","South Korea",114,"Female",2008,"10-19 years"
"Asia","South Korea",22,"Male",2008,"10-19 years"
"Asia","South Korea",155,"Male",2008,"10-19 years"
"Asia","South Korea",41,"Female",2009,"10-19 years"
"Asia","South Korea",158,"Female",2009,"10-19 years"
"Asia","South Korea",36,"Male",2009,"10-19 years"
"Asia","South Korea",211,"Male",2009,"10-19 years"
"Asia","South Korea",34,"Female",2010,"10-19 years"
"Asia","South Korea",127,"Female",2010,"10-19 years"
"Asia","South Korea",27,"Male",2010,"10-19 years"
"Asia","South Korea",165,"Male",2010,"10-19 years"
"Asia","South Korea",26,"Female",2011,"10-19 years"
"Asia","South Korea",126,"Female",2011,"10-19 years"
"Asia","South Korea",30,"Male",2011,"10-19 years"
"Asia","South Korea",191,"Male",2011,"10-19 years"
"Asia","South Korea",20,"Female",2012,"10-19 years"
"Asia","South Korea",126,"Female",2012,"10-19 years"
"Asia","South Korea",27,"Male",2012,"10-19 years"
"Asia","South Korea",163,"Male",2012,"10-19 years"
"Asia","South Korea",16,"Female",2013,"10-19 years"
"Asia","South Korea",106,"Female",2013,"10-19 years"
"Asia","South Korea",21,"Male",2013,"10-19 years"
"Asia","South Korea",165,"Male",2013,"10-19 years"
"Asia","South Korea",11,"Female",2014,"10-19 years"
"Asia","South Korea",89,"Female",2014,"10-19 years"
"Asia","South Korea",20,"Male",2014,"10-19 years"
"Asia","South Korea",154,"Male",2014,"10-19 years"
"Asia","South Korea",14,"Female",2015,"10-19 years"
"Asia","South Korea",92,"Female",2015,"10-19 years"
"Asia","South Korea",17,"Male",2015,"10-19 years"
"Asia","South Korea",122,"Male",2015,"10-19 years"
"Asia","South Korea",10,"Female",2016,"10-19 years"
"Asia","South Korea",101,"Female",2016,"10-19 years"
"Asia","South Korea",12,"Male",2016,"10-19 years"
"Asia","South Korea",150,"Male",2016,"10-19 years"
"Asia","South Korea",13,"Female",2017,"10-19 years"
"Asia","South Korea",78,"Female",2017,"10-19 years"
"Asia","South Korea",22,"Male",2017,"10-19 years"
"Asia","South Korea",141,"Male",2017,"10-19 years"
"Asia","South Korea",24,"Female",2018,"10-19 years"
"Asia","South Korea",123,"Female",2018,"10-19 years"
"Asia","South Korea",25,"Male",2018,"10-19 years"
"Asia","South Korea",129,"Male",2018,"10-19 years"
"Asia","South Korea",23,"Female",2019,"10-19 years"
"Asia","South Korea",132,"Female",2019,"10-19 years"
"Asia","South Korea",20,"Male",2019,"10-19 years"
"Asia","South Korea",123,"Male",2019,"10-19 years"
"Asia","South Korea",26,"Female",2020,"10-19 years"
"Asia","South Korea",125,"Female",2020,"10-19 years"
"Asia","South Korea",23,"Male",2020,"10-19 years"
"Asia","South Korea",141,"Male",2020,"10-19 years"
"Asia","South Korea",192,"Female",1985,"20-29 years"
"Asia","South Korea",145,"Female",1985,"20-29 years"
"Asia","South Korea",448,"Male",1985,"20-29 years"
"Asia","South Korea",402,"Male",1985,"20-29 years"
"Asia","South Korea",141,"Female",1986,"20-29 years"
"Asia","South Korea",147,"Female",1986,"20-29 years"
"Asia","South Korea",399,"Male",1986,"20-29 years"
"Asia","South Korea",394,"Male",1986,"20-29 years"
"Asia","South Korea",146,"Female",1987,"20-29 years"
"Asia","South Korea",149,"Female",1987,"20-29 years"
"Asia","South Korea",324,"Male",1987,"20-29 years"
"Asia","South Korea",393,"Male",1987,"20-29 years"
"Asia","South Korea",111,"Female",1988,"20-29 years"
