"Continent","Age Group","Year","Mental Disorder","Percent"
"Africa","0-19 years",1990,"Anxiety disorders",7.07193572811253
"Africa","0-19 years",1990,"Bipolar disorder",0.599649269964468
"Africa","0-19 years",1990,"Depressive disorders",3.28544447425681
"Africa","0-19 years",1990,"Eating disorders",0.207534432373602
"Africa","0-19 years",1990,"Schizophrenia",0.0450436256388645
"Africa","0-19 years",1991,"Anxiety disorders",7.07121717146847
"Africa","0-19 years",1991,"Bipolar disorder",0.600120084579182
"Africa","0-19 years",1991,"Depressive disorders",3.28587537136762
"Africa","0-19 years",1991,"Eating disorders",0.20706041354719
"Africa","0-19 years",1991,"Schizophrenia",0.0449911037833222
"Africa","0-19 years",1992,"Anxiety disorders",7.07171940642411
"Africa","0-19 years",1992,"Bipolar disorder",0.600870754304913
"Africa","0-19 years",1992,"Depressive disorders",3.28850998629527
"Africa","0-19 years",1992,"Eating disorders",0.206963319512418
"Africa","0-19 years",1992,"Schizophrenia",0.0449974517590698
"Africa","0-19 years",1993,"Anxiety disorders",7.07356707042309
"Africa","0-19 years",1993,"Bipolar disorder",0.601988263050027
"Africa","0-19 years",1993,"Depressive disorders",3.29277933592338
"Africa","0-19 years",1993,"Eating disorders",0.206830491382408
"Africa","0-19 years",1993,"Schizophrenia",0.0450743517660381
"Africa","0-19 years",1994,"Anxiety disorders",7.07661473524502
"Africa","0-19 years",1994,"Bipolar disorder",0.603213283484476
"Africa","0-19 years",1994,"Depressive disorders",3.29894053521478
"Africa","0-19 years",1994,"Eating disorders",0.207089297254734
"Africa","0-19 years",1994,"Schizophrenia",0.0451921427116935
"Africa","0-19 years",1995,"Anxiety disorders",7.08056806684167
"Africa","0-19 years",1995,"Bipolar disorder",0.604441193971516
"Africa","0-19 years",1995,"Depressive disorders",3.3059294762491
"Africa","0-19 years",1995,"Eating disorders",0.207320641557258
"Africa","0-19 years",1995,"Schizophrenia",0.0453322506368624
"Africa","0-19 years",1996,"Anxiety disorders",7.08727719040532
"Africa","0-19 years",1996,"Bipolar disorder",0.605929241644572
"Africa","0-19 years",1996,"Depressive disorders",3.31641933982286
"Africa","0-19 years",1996,"Eating disorders",0.207736566427845
"Africa","0-19 years",1996,"Schizophrenia",0.0455314912048614
"Africa","0-19 years",1997,"Anxiety disorders",7.09721918334325
"Africa","0-19 years",1997,"Bipolar disorder",0.607622757085942
"Africa","0-19 years",1997,"Depressive disorders",3.32959878842224
"Africa","0-19 years",1997,"Eating disorders",0.208425027722036
"Africa","0-19 years",1997,"Schizophrenia",0.0457790845241866
"Africa","0-19 years",1998,"Anxiety disorders",7.10829358975775
"Africa","0-19 years",1998,"Bipolar disorder",0.609317700824432
"Africa","0-19 years",1998,"Depressive disorders",3.34139945107227
"Africa","0-19 years",1998,"Eating disorders",0.209211765683457
"Africa","0-19 years",1998,"Schizophrenia",0.0460262617644198
"Africa","0-19 years",1999,"Anxiety disorders",7.11869954015147
"Africa","0-19 years",1999,"Bipolar disorder",0.61094869257205
"Africa","0-19 years",1999,"Depressive disorders",3.3522713995712
"Africa","0-19 years",1999,"Eating disorders",0.209933896177209
"Africa","0-19 years",1999,"Schizophrenia",0.0462430242337723
"Africa","0-19 years",2000,"Anxiety disorders",7.12682096228527
"Africa","0-19 years",2000,"Bipolar disorder",0.612543453459114
"Africa","0-19 years",2000,"Depressive disorders",3.35813777870316
"Africa","0-19 years",2000,"Eating disorders",0.210831593718879
"Africa","0-19 years",2000,"Schizophrenia",0.0464117168393312
"Africa","0-19 years",2001,"Anxiety disorders",7.13591493958222
"Africa","0-19 years",2001,"Bipolar disorder",0.614014718174052
"Africa","0-19 years",2001,"Depressive disorders",3.36235264233602
"Africa","0-19 years",2001,"Eating disorders",0.212023947211848
"Africa","0-19 years",2001,"Schizophrenia",0.0465297977022563
"Africa","0-19 years",2002,"Anxiety disorders",7.14924446181214
"Africa","0-19 years",2002,"Bipolar disorder",0.615383865339068
"Africa","0-19 years",2002,"Depressive disorders",3.36687796507825
"Africa","0-19 years",2002,"Eating disorders",0.21357498835962
"Africa","0-19 years",2002,"Schizophrenia",0.0466266831777793
"Africa","0-19 years",2003,"Anxiety disorders",7.1642818455668
"Africa","0-19 years",2003,"Bipolar disorder",0.616708684322619
"Africa","0-19 years",2003,"Depressive disorders",3.37162881586866
"Africa","0-19 years",2003,"Eating disorders",0.215173623593027
"Africa","0-19 years",2003,"Schizophrenia",0.0467202358226191
"Africa","0-19 years",2004,"Anxiety disorders",7.17792451471152
"Africa","0-19 years",2004,"Bipolar disorder",0.617788621823162
"Africa","0-19 years",2004,"Depressive disorders",3.37475823658711
"Africa","0-19 years",2004,"Eating disorders",0.216832420390209
"Africa","0-19 years",2004,"Schizophrenia",0.0468009040148282
"Africa","0-19 years",2005,"Anxiety disorders",7.18739004948898
"Africa","0-19 years",2005,"Bipolar disorder",0.618598575886642
"Africa","0-19 years",2005,"Depressive disorders",3.37371145454226
"Africa","0-19 years",2005,"Eating disorders",0.218149643885865
"Africa","0-19 years",2005,"Schizophrenia",0.046872061263553
"Africa","0-19 years",2006,"Anxiety disorders",7.19482606831449
"Africa","0-19 years",2006,"Bipolar disorder",0.619386333196472
"Africa","0-19 years",2006,"Depressive disorders",3.3667202149575
"Africa","0-19 years",2006,"Eating disorders",0.219581948434174
"Africa","0-19 years",2006,"Schizophrenia",0.0469425582837909
"Africa","0-19 years",2007,"Anxiety disorders",7.20452865234102
"Africa","0-19 years",2007,"Bipolar disorder",0.620264288681763
"Africa","0-19 years",2007,"Depressive disorders",3.35311001261007
"Africa","0-19 years",2007,"Eating disorders",0.221350572606376
"Africa","0-19 years",2007,"Schizophrenia",0.0470111664522488
"Africa","0-19 years",2008,"Anxiety disorders",7.21652234423371
"Africa","0-19 years",2008,"Bipolar disorder",0.621146592920749
"Africa","0-19 years",2008,"Depressive disorders",3.33669927983575
"Africa","0-19 years",2008,"Eating disorders",0.223156282959786
"Africa","0-19 years",2008,"Schizophrenia",0.0470762918396463
"Africa","0-19 years",2009,"Anxiety disorders",7.23079311565825
"Africa","0-19 years",2009,"Bipolar disorder",0.622002900720716
"Africa","0-19 years",2009,"Depressive disorders",3.32267773617794
"Africa","0-19 years",2009,"Eating disorders",0.224928059216406
"Africa","0-19 years",2009,"Schizophrenia",0.0471393564038898
"Africa","0-19 years",2010,"Anxiety disorders",7.246300890898
"Africa","0-19 years",2010,"Bipolar disorder",0.622595601104133
"Africa","0-19 years",2010,"Depressive disorders",3.31471830320209
"Africa","0-19 years",2010,"Eating disorders",0.22639041342855
"Africa","0-19 years",2010,"Schizophrenia",0.0471878775381771
"Africa","0-19 years",2011,"Anxiety disorders",7.27019688314448
"Africa","0-19 years",2011,"Bipolar disorder",0.622968087314722
"Africa","0-19 years",2011,"Depressive disorders",3.31284707393753
"Africa","0-19 years",2011,"Eating disorders",0.227660732644261
"Africa","0-19 years",2011,"Schizophrenia",0.0472451701507507
"Africa","0-19 years",2012,"Anxiety disorders",7.30571205815248
"Africa","0-19 years",2012,"Bipolar disorder",0.623230964606503
"Africa","0-19 years",2012,"Depressive disorders",3.31539091157783
"Africa","0-19 years",2012,"Eating disorders",0.229191599451412
"Africa","0-19 years",2012,"Schizophrenia",0.0473170710584372
"Africa","0-19 years",2013,"Anxiety disorders",7.34596915695802
"Africa","0-19 years",2013,"Bipolar disorder",0.623327712155163
"Africa","0-19 years",2013,"Depressive disorders",3.31932564509669
"Africa","0-19 years",2013,"Eating disorders",0.230555704805233
"Africa","0-19 years",2013,"Schizophrenia",0.0473802391654453
"Africa","0-19 years",2014,"Anxiety disorders",7.38362010249753
"Africa","0-19 years",2014,"Bipolar disorder",0.623275557564813
"Africa","0-19 years",2014,"Depressive disorders",3.32423626633179
"Africa","0-19 years",2014,"Eating disorders",0.231378250299711
"Africa","0-19 years",2014,"Schizophrenia",0.0474223625351754
"Africa","0-19 years",2015,"Anxiety disorders",7.41146073741346
"Africa","0-19 years",2015,"Bipolar disorder",0.623132441960455
"Africa","0-19 years",2015,"Depressive disorders",3.32718768624796
"Africa","0-19 years",2015,"Eating disorders",0.232523920231609
"Africa","0-19 years",2015,"Schizophrenia",0.0474324311103978
"Africa","0-19 years",2016,"Anxiety disorders",7.42976717849019
"Africa","0-19 years",2016,"Bipolar disorder",0.62354519164648
"Africa","0-19 years",2016,"Depressive disorders",3.32931941654974
"Africa","0-19 years",2016,"Eating disorders",0.234755815554439
"Africa","0-19 years",2016,"Schizophrenia",0.0474182619031194
"Africa","0-19 years",2017,"Anxiety disorders",7.44473698048622
"Africa","0-19 years",2017,"Bipolar disorder",0.624440307252402
"Africa","0-19 years",2017,"Depressive disorders",3.3338176126151
"Africa","0-19 years",2017,"Eating disorders",0.236458282837283
"Africa","0-19 years",2017,"Schizophrenia",0.0474502208089005
"Africa","0-19 years",2018,"Anxiety disorders",7.46237250733728
"Africa","0-19 years",2018,"Bipolar disorder",0.625419244566319
"Africa","0-19 years",2018,"Depressive disorders",3.34924029441976
"Africa","0-19 years",2018,"Eating disorders",0.237358442188579
"Africa","0-19 years",2018,"Schizophrenia",0.0475640018700084
"Africa","0-19 years",2019,"Anxiety disorders",7.48439915723239
"Africa","0-19 years",2019,"Bipolar disorder",0.626875685419186
"Africa","0-19 years",2019,"Depressive disorders",3.37569546534047
"Africa","0-19 years",2019,"Eating disorders",0.237872939930474
"Africa","0-19 years",2019,"Schizophrenia",0.0477557987501377
"Africa","20-39 years",1990,"Anxiety disorders",27.813006882605
"Africa","20-39 years",1990,"Bipolar disorder",4.93639849430232
"Africa","20-39 years",1990,"Depressive disorders",33.7892683690376
"Africa","20-39 years",1990,"Eating disorders",1.43253027905458
"Africa","20-39 years",1990,"Schizophrenia",2.02159724536792
"Africa","20-39 years",1991,"Anxiety disorders",27.8344163090384
"Africa","20-39 years",1991,"Bipolar disorder",4.93653002481074
"Africa","20-39 years",1991,"Depressive disorders",33.7784884744755
"Africa","20-39 years",1991,"Eating disorders",1.43043814241343
"Africa","20-39 years",1991,"Schizophrenia",2.0219896097581
"Africa","20-39 years",1992,"Anxiety disorders",27.853653458631
"Africa","20-39 years",1992,"Bipolar disorder",4.93670849868092
"Africa","20-39 years",1992,"Depressive disorders",33.7680654396473
"Africa","20-39 years",1992,"Eating disorders",1.42786662774231
"Africa","20-39 years",1992,"Schizophrenia",2.02234491655291
"Africa","20-39 years",1993,"Anxiety disorders",27.869815098133
"Africa","20-39 years",1993,"Bipolar disorder",4.93694057081814
"Africa","20-39 years",1993,"Depressive disorders",33.7544287669044
"Africa","20-39 years",1993,"Eating disorders",1.42596609184985
"Africa","20-39 years",1993,"Schizophrenia",2.02266890734386
"Africa","20-39 years",1994,"Anxiety disorders",27.8844129227331
"Africa","20-39 years",1994,"Bipolar disorder",4.93723581961297
"Africa","20-39 years",1994,"Depressive disorders",33.7479145306289
"Africa","20-39 years",1994,"Eating disorders",1.42448193928189
"Africa","20-39 years",1994,"Schizophrenia",2.02293789635599
"Africa","20-39 years",1995,"Anxiety disorders",27.8948737711503
"Africa","20-39 years",1995,"Bipolar disorder",4.93755189497702
"Africa","20-39 years",1995,"Depressive disorders",33.744101620529
"Africa","20-39 years",1995,"Eating disorders",1.42320416685156
"Africa","20-39 years",1995,"Schizophrenia",2.02317026866619
"Africa","20-39 years",1996,"Anxiety disorders",27.8856852137595
"Africa","20-39 years",1996,"Bipolar disorder",4.93794518533645
"Africa","20-39 years",1996,"Depressive disorders",33.73859026887
"Africa","20-39 years",1996,"Eating disorders",1.42209719304739
"Africa","20-39 years",1996,"Schizophrenia",2.02334849587666
"Africa","20-39 years",1997,"Anxiety disorders",27.8545689664789
"Africa","20-39 years",1997,"Bipolar disorder",4.93845206297808
"Africa","20-39 years",1997,"Depressive disorders",33.722748713145
"Africa","20-39 years",1997,"Eating disorders",1.42184153128283
"Africa","20-39 years",1997,"Schizophrenia",2.02348661100443
"Africa","20-39 years",1998,"Anxiety disorders",27.8162827869474
"Africa","20-39 years",1998,"Bipolar disorder",4.93904942593098
"Africa","20-39 years",1998,"Depressive disorders",33.7059095112853
"Africa","20-39 years",1998,"Eating disorders",1.42248015553741
"Africa","20-39 years",1998,"Schizophrenia",2.02370191595609
"Africa","20-39 years",1999,"Anxiety disorders",27.7853202867979
"Africa","20-39 years",1999,"Bipolar disorder",4.93967990250553
"Africa","20-39 years",1999,"Depressive disorders",33.6776849500669
"Africa","20-39 years",1999,"Eating disorders",1.42367050943508
"Africa","20-39 years",1999,"Schizophrenia",2.02409863397253
"Africa","20-39 years",2000,"Anxiety disorders",27.7755985741827
"Africa","20-39 years",2000,"Bipolar disorder",4.94026403553052
"Africa","20-39 years",2000,"Depressive disorders",33.6484464503585
"Africa","20-39 years",2000,"Eating disorders",1.42742946924786
