"Continent","Age Group","Year","Sex","Rate"
"Africa","0-19 years",1990,"Female",107.425743219517
"Africa","0-19 years",1990,"Male",238.842268416316
"Africa","0-19 years",1991,"Female",105.45118422447
"Africa","0-19 years",1991,"Male",237.27898270237
"Africa","0-19 years",1992,"Female",105.201020307854
"Africa","0-19 years",1992,"Male",240.649219888899
"Africa","0-19 years",1993,"Female",103.709216662444
"Africa","0-19 years",1993,"Male",243.93873874405
"Africa","0-19 years",1994,"Female",101.725818993635
"Africa","0-19 years",1994,"Male",249.183065268633
"Africa","0-19 years",1995,"Female",99.7050918292869
"Africa","0-19 years",1995,"Male",251.636301325394
"Africa","0-19 years",1996,"Female",98.0992620207262
"Africa","0-19 years",1996,"Male",252.895956205645
"Africa","0-19 years",1997,"Female",96.361629152891
"Africa","0-19 years",1997,"Male",253.155460949814
"Africa","0-19 years",1998,"Female",96.3929405452789
"Africa","0-19 years",1998,"Male",255.470393251201
"Africa","0-19 years",1999,"Female",96.7060092686276
"Africa","0-19 years",1999,"Male",254.366307147758
"Africa","0-19 years",2000,"Female",96.6041882644064
"Africa","0-19 years",2000,"Male",252.739904707113
"Africa","0-19 years",2001,"Female",96.1004271926823
"Africa","0-19 years",2001,"Male",251.415748555895
"Africa","0-19 years",2002,"Female",96.4677299676125
"Africa","0-19 years",2002,"Male",252.924053589547
"Africa","0-19 years",2003,"Female",95.8039318475174
"Africa","0-19 years",2003,"Male",251.130304358055
"Africa","0-19 years",2004,"Female",95.2255700995958
"Africa","0-19 years",2004,"Male",251.596994686107
"Africa","0-19 years",2005,"Female",94.4556977564205
"Africa","0-19 years",2005,"Male",249.158630642931
"Africa","0-19 years",2006,"Female",93.0810871982776
"Africa","0-19 years",2006,"Male",247.342482323427
"Africa","0-19 years",2007,"Female",92.5155636963457
"Africa","0-19 years",2007,"Male",246.060188983888
"Africa","0-19 years",2008,"Female",91.7222234084887
"Africa","0-19 years",2008,"Male",243.328429750381
"Africa","0-19 years",2009,"Female",89.9242861957848
"Africa","0-19 years",2009,"Male",240.781231070543
"Africa","0-19 years",2010,"Female",87.4072649731601
"Africa","0-19 years",2010,"Male",237.142977384506
"Africa","0-19 years",2011,"Female",85.9076155084223
"Africa","0-19 years",2011,"Male",234.24340992623
"Africa","0-19 years",2012,"Female",84.6669537872205
"Africa","0-19 years",2012,"Male",231.207530714228
"Africa","0-19 years",2013,"Female",83.1937475766187
"Africa","0-19 years",2013,"Male",229.428996708052
"Africa","0-19 years",2014,"Female",83.7809907772551
"Africa","0-19 years",2014,"Male",228.650668523675
"Africa","0-19 years",2015,"Female",82.7813451502806
"Africa","0-19 years",2015,"Male",225.986051567004
"Africa","0-19 years",2016,"Female",81.0353881670537
"Africa","0-19 years",2016,"Male",223.699563348168
"Africa","0-19 years",2017,"Female",79.7151392763017
"Africa","0-19 years",2017,"Male",221.324486677658
"Africa","0-19 years",2018,"Female",78.0658879030211
"Africa","0-19 years",2018,"Male",216.265903738086
"Africa","0-19 years",2019,"Female",76.3758863791694
"Africa","0-19 years",2019,"Male",212.259830228884
"Africa","20-39 years",1990,"Female",1080.66392544163
"Africa","20-39 years",1990,"Male",2756.49315753555
"Africa","20-39 years",1991,"Female",1061.70118165319
"Africa","20-39 years",1991,"Male",2786.9951651296
"Africa","20-39 years",1992,"Female",1067.70913182003
"Africa","20-39 years",1992,"Male",2837.89039532497
"Africa","20-39 years",1993,"Female",1036.8738705689
"Africa","20-39 years",1993,"Male",2870.99299330921
"Africa","20-39 years",1994,"Female",1022.73528697194
"Africa","20-39 years",1994,"Male",2940.78733912671
"Africa","20-39 years",1995,"Female",997.414613912955
"Africa","20-39 years",1995,"Male",3002.95613804336
